timetableStop_id;station;eva;target;trainCategory;trainNumber;departingLine;plannedDeparture;changedDepartureTime;cancellationTime;eventStatus;departure_delay;operator;Verbindung;week_number
6857733995447485164-2411091115-8;Mannheim Hbf;8000244;München Hbf;ICE;599;;2024-11-09 16:30:00;2024-11-09 16:37:00;;;7;DB Fernverkehr AG;Mannheim Hbf-München Hbf;44
3453258778936174137-2410310716-1;Trier Hbf;8000134;Konz;RB;12557;71;2024-10-31 07:16:00;2024-10-31 07:25:00;;;9;DB Regio AG;RB71;43
4822165312361183347-2410280619-1;Trier Hbf;8000134;Kaiserslautern Hbf;RB;12519;71;2024-10-28 06:19:00;2024-10-28 06:42:00;;;23;DB Regio AG;RB71;43
6008460900398660516-2410280458-9;Trier Hbf;8000134;Koblenz Hbf;RE;4105;1;2024-10-28 06:10:00;2024-10-28 06:19:00;;;9;DB Regio AG;RE1;43
-3796875127519716728-2410300833-7;Trier Hbf;8000134;Koblenz Hbf;RE;5111;11;2024-10-30 09:31:00;2024-10-30 09:38:00;;;7;DB Regio AG;RE11;43
6954924236955692259-2411061328-8;Wiesbaden Hbf;8000250;Köln Hbf;ICE;516;;2024-11-06 17:39:00;2024-11-06 17:46:00;;;7;DB Fernverkehr AG;Wiesbaden Hbf-Köln Hbf;44
5998877537513884225-2411061739-1;Wiesbaden Hbf;8000250;Kelsterbach;S;29059;9;2024-11-06 17:39:00;2024-11-06 17:58:00;;;19;DB Regio AG;S9;44
-586348946242638825-2411030605-10;Mannheim Hbf;8000244;Basel SBB;ICE;277;;2024-11-03 11:34:00;2024-11-03 11:54:00;;;20;DB Fernverkehr AG;Mannheim Hbf-Basel SBB;44
67517114520381301-2411010532-6;Mannheim Hbf;8000244;Köln Hbf;ICE;614;;2024-11-01 08:31:00;2024-11-01 08:50:00;;;19;DB Fernverkehr AG;Mannheim Hbf-Köln Hbf;43
6126901332954732853-2411011846-26;Mainz Hbf;8000240;Wiesbaden Hbf;S;35862;8;2024-11-01 19:59:00;2024-11-01 20:13:00;;;14;DB Regio AG;S8;43
8428028954903351107-2411011636-9;Mainz Hbf;8000240;Passau Hbf;ICE;929;;2024-11-01 19:42:00;2024-11-01 19:51:00;;;9;DB Fernverkehr AG;Mainz Hbf-Passau Hbf;43
6857733995447485164-2411071115-8;Mannheim Hbf;8000244;München Hbf;ICE;599;;2024-11-07 16:30:00;2024-11-07 16:52:00;;;22;DB Fernverkehr AG;Mannheim Hbf-München Hbf;44
-4534381173691714871-2411071636-1;Mannheim Hbf;8000244;Koblenz Hbf;RE;4131;1;2024-11-07 16:36:00;2024-11-07 16:43:00;;;7;DB Regio AG;RE1;44
-4363138856453226211-2411041111-8;Frankfurt(Main)Hbf;8000105;Interlaken Ost;ICE;373;;2024-11-04 16:06:00;2024-11-04 16:14:00;;;8;DB Fernverkehr AG;Frankfurt(Main)Hbf-Interlaken Ost;44
5401954248433931661-2410310735-1;Wiesbaden Hbf;8000250;Rödermark-Ober Roden;S;35119;1;2024-10-31 07:35:00;2024-10-31 07:50:00;;;15;DB Regio AG;S1;43
765884255463401950-2410301439-16;Trier Hbf;8000134;Koblenz Hbf;RE;4127;1;2024-10-30 17:31:00;2024-10-30 18:03:00;;;32;DB Regio AG;RE1;43
-8624992757107064587-2410310332-9;Wiesbaden Hbf;8000250;Köln Hbf;ICE;616;;2024-10-31 07:39:00;2024-10-31 07:59:00;;;20;DB Fernverkehr AG;Wiesbaden Hbf-Köln Hbf;43
-2433736577959851803-2411041616-1;Frankfurt(Main)Hbf;8000105;Glauburg-Stockheim;RB;15728;34;2024-11-04 16:16:00;2024-11-04 16:33:00;;;17;DB Regio AG;RB34;44
-5225755319027669192-2410310607-3;Wiesbaden Hbf;8000250;Karlsruhe Hbf;ICE;101;;2024-10-31 07:26:00;2024-10-31 07:33:00;;;7;DB Fernverkehr AG;Wiesbaden Hbf-Karlsruhe Hbf;43
7846831892599126597-2411041654-1;Frankfurt(Main)Hbf;8000105;Neuwied;VIA;25024;RB10;2024-11-04 16:54:00;2024-11-04 17:21:00;;;27;VIAS GmbH;RB10;44
5705501940803225784-2411041620-1;Frankfurt(Main)Hbf;8000105;Marburg(Lahn);HLB;24426;RE98;2024-11-04 16:20:00;2024-11-04 16:36:00;;;16;Hessische Landesbahn;RE98;44
-4428512129679500917-2411041620-1;Frankfurt(Main)Hbf;8000105;Kassel Hbf;HLB;24416;RE98;2024-11-04 16:20:00;2024-11-04 16:36:00;;;16;Hessische Landesbahn;RE98;44
958240752594003824-2411041453-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;723;;2024-11-04 16:53:00;2024-11-04 17:58:00;;;65;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;44
4425908669951162267-2411050610-17;Mainz Hbf;8000240;Wiesbaden Hbf;S;38602;6;2024-11-05 07:36:00;2024-11-05 07:43:00;;;7;DB Regio AG;S6;44
3765292860989413453-2411020605-3;Mannheim Hbf;8000244;Basel SBB;ICE;5;;2024-11-02 07:34:00;2024-11-02 07:47:00;;;13;DB Fernverkehr AG;Mannheim Hbf-Basel SBB;43
5475545787198091829-2411032108-7;Mainz Hbf;8000240;Koblenz Hbf;RE;4266;2;2024-11-03 21:51:00;2024-11-03 21:58:00;;;7;DB Regio AG;RE2;44
-8005609635293134624-2411031716-7;Mainz Hbf;8000240;München Hbf;ICE;695;;2024-11-03 21:42:00;2024-11-03 22:19:00;;;37;DB Fernverkehr AG;Mainz Hbf-München Hbf;44
-1268335842879231054-2411041905-5;Mannheim Hbf;8000244;Frankfurt(Main)Hbf;ICE;9557;;2024-11-04 22:21:00;2024-11-04 22:27:00;;;6;DB Fernverkehr AG;Mannheim Hbf-Frankfurt(Main)Hbf;44
8280296046192255306-2411042239-1;Mannheim Hbf;8000244;Saarbrücken Hbf;RE;4149;1;2024-11-04 22:39:00;2024-11-04 22:47:00;;;8;DB Regio AG;RE1;44
-1906005855819430367-2411042202-1;Mannheim Hbf;8000244;Karlsruhe-Durlach;RE;26157;73;2024-11-04 22:02:00;2024-11-04 22:10:00;;;8;DB Regio AG;RE73;44
5184943844481127817-2411021252-11;Trier Hbf;8000134;Koblenz Hbf;RE;4341;1;2024-11-02 14:31:00;2024-11-02 14:38:00;;;7;DB Regio AG;RE1;43
-853844594697067860-2411030622-8;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;527;;2024-11-03 08:53:00;2024-11-03 09:03:00;;;10;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;44
6563386602617930831-2410300507-10;Mannheim Hbf;8000244;München Hbf;ICE;593;;2024-10-30 10:30:00;2024-10-30 10:53:00;;;23;DB Fernverkehr AG;Mannheim Hbf-München Hbf;43
9011011619156863439-2411040927-6;Mannheim Hbf;8000244;Köln Hbf;ICE;610;;2024-11-04 12:31:00;2024-11-04 12:37:00;;;6;DB Fernverkehr AG;Mannheim Hbf-Köln Hbf;44
1924658128121948341-2410301337-25;Wiesbaden Hbf;8000250;Frankfurt(Main)Hbf;VIA;25021;RB10;2024-10-30 15:32:00;2024-10-30 15:41:00;;;9;VIAS GmbH;RB10;43
-2949416740394486108-2411081133-1;Mannheim Hbf;8000244;Frankfurt(Main)Hbf;RE;15314;60;2024-11-08 11:33:00;2024-11-08 11:41:00;;;8;DB Regio AG;RE60;44
-4259567916620571379-2411022119-8;Trier Hbf;8000134;Luxembourg;RE;5130;11;2024-11-02 22:43:00;2024-11-02 22:52:00;;;9;DB Regio AG;RE11;43
246758424283467913-2411081638-1;Frankfurt(Main)Hbf;8000105;Mannheim Hbf;N;12225;SE14;2024-11-08 16:38:00;2024-11-08 16:46:00;;;8;DB Regio AG;SE14;44
-8018320325830980126-2411061358-20;Mainz Hbf;8000240;Wiesbaden Hbf;S;35842;8;2024-11-06 14:59:00;2024-11-06 15:07:00;2024-11-06 14:54:00;c;8;DB Regio AG;S8;44
6602354515672128224-2411081651-1;Frankfurt(Main)Hbf;8000105;Alzey;RB;29262;31;2024-11-08 16:51:00;2024-11-08 16:57:00;;;6;DB Regio AG;RB31;44
-3711201485074617606-2411061328-20;Mainz Hbf;8000240;Wiesbaden Hbf;S;35840;8;2024-11-06 14:29:00;2024-11-06 16:26:00;2024-11-06 16:29:00;c;117;DB Regio AG;S8;44
1632742810702910701-2411060834-10;Mainz Hbf;8000240;Dortmund Hbf;ICE;228;;2024-11-06 14:20:00;2024-11-06 14:40:00;2024-11-06 14:32:00;c;20;DB Fernverkehr AG;Mainz Hbf-Dortmund Hbf;44
170093097875396020-2411061916-6;Frankfurt(Main)Hbf;8000105;Stuttgart Hbf;ICE;697;;2024-11-06 23:06:00;2024-11-07 00:10:00;;;64;DB Fernverkehr AG;Frankfurt(Main)Hbf-Stuttgart Hbf;44
-1247146776534477284-2411080202-1;Mainz Hbf;8000240;Hanau Hbf;S;35891;8;2024-11-08 02:02:00;2024-11-08 02:36:00;;;34;DB Regio AG;S8;44
5031173706176312942-2410271922-19;Mannheim Hbf;8000244;Germersheim;S;38364;3;2024-10-27 20:31:00;2024-10-27 20:45:00;;;14;DB Regio AG;S3;43
-5042702640097751442-2411090933-7;Trier Hbf;8000134;Koblenz Hbf;RE;5113;11;2024-11-09 10:31:00;2024-11-09 10:37:00;;;6;DB Regio AG;RE11;44
7511148090173910504-2411032305-10;Frankfurt(Main)Hbf;8000105;Chur;ICE;1271;;2024-11-04 05:06:00;2024-11-04 05:35:00;2024-11-04 03:41:00;c;29;DB Fernverkehr AG;Frankfurt(Main)Hbf-Chur;44
-4534381173691714871-2411041636-16;Trier Hbf;8000134;Koblenz Hbf;RE;4131;1;2024-11-04 19:31:00;2024-11-04 19:41:00;;;10;DB Regio AG;RE1;44
7842371433605033713-2411081306-8;Trier Hbf;8000134;Mannheim Hbf;RE;4114;1;2024-11-08 14:33:00;2024-11-08 14:39:00;;;6;DB Regio AG;RE1;44
786129964763538741-2411052228-20;Mainz Hbf;8000240;Wiesbaden Hbf;S;35876;8;2024-11-05 23:29:00;2024-11-05 23:45:00;;;16;DB Regio AG;S8;44
