timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
8573811631662133764-2411062048-7;Frankfurt(Main)Hbf;8000105;München Hbf;München Hbf|Ingolstadt Hbf|Nürnberg Hbf|Fürth(Bay)Hbf|Würzburg Hbf|Aschaffenburg Hbf;ICE;520;;2024-11-07 00:04:00;2024-11-07 00:13:00;;;9;DB Fernverkehr AG;München Hbf-Frankfurt(Main)Hbf;44
993826748729604473-2411061946-9;Frankfurt(Main)Hbf;8000105;München Hbf;München Hbf|Augsburg Hbf|Günzburg|Ulm Hbf|Stuttgart Hbf|Heidelberg Hbf|Neu-Edingen/Friedrichsfeld|Darmstadt Hbf;ICE;2308;;2024-11-07 00:23:00;2024-11-07 00:27:00;;;4;DB Fernverkehr AG;München Hbf-Frankfurt(Main)Hbf;44
-2249987501032134797-2411070003-13;Frankfurt(Main)Hbf;8000105;Niedernhausen(Taunus);Niedernhausen(Taunus)|Niederjosbach|Eppstein-Bremthal|Eppstein|Lorsbach|Hofheim(Taunus)|Kriftel|Frankfurt-Zeilsheim|Frankfurt-Höchst Farbwerke|Frankfurt-Höchst|Frankfurt-Nied|Frankfurt-Griesheim;S;56835;2;2024-11-07 00:39:00;2024-11-07 00:39:00;;;0;DB Regio AG;S2;44
-5393433415483709575-2411062313-13;Frankfurt(Main)Hbf;8000105;Dieburg;Dieburg|Münster(Hessen)|Eppertshausen|Rödermark-Ober Roden|Rödermark-Urberach|Dreieich-Offenthal|Dreieich-Götzenhain|Dreieich-Dreieichenhain|Dreieich-Weibelfeld|Dreieich-Sprendlingen|Dreieich-Buchschlag|Neu-Isenburg;RB;15698;61;2024-11-07 00:01:00;2024-11-07 00:01:00;;;0;DB Regio AG;RB61;44
9117006994590991223-2411062236-32;Frankfurt(Main)Hbf;8000105;Würzburg Hbf;Würzburg Hbf|Würzburg-Zell|Veitshöchheim|Thüngersheim|Retzbach-Zellingen|Himmelstadt|Karlstadt(Main)|Wernfeld|Gemünden(Main)|Langenprozelten|Lohr Bahnhof|Partenstein|Wiesthal|Heigenbrücken|Laufach|Hösbach|Aschaffenburg Hbf|Kleinostheim|Rückersbacher Schlucht|Dettingen(Main)|Kahl(Main)|Großkrotzenburg|Großauheim(Kr Hanau)|Hanau Hbf|Hanau West|Hanau-Wilhelmsbad|Maintal Ost|Maintal West|Frankfurt-Mainkur|Frankfurt(Main)Ost|Frankfurt(Main)Süd;RE;4636;54;2024-11-07 00:48:00;2024-11-07 01:11:00;;;23;DB Regio AG;RE54;44
2939215180105942175-2410271006-14;Mannheim Hbf;8000244;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Langen(Hess)|Darmstadt Hbf|Darmstadt Süd|Bickenbach(Bergstr)|Zwingenberg(Bergstr)|Bensheim|Heppenheim(Bergstr)|Hemsbach|Weinheim(Bergstr)Hbf|Heddesheim/Hirschberg|Ladenburg|Neu-Edingen/Friedrichsfeld;RE;15313;60;2024-10-27 11:23:00;2024-10-27 11:40:00;;;17;DB Regio AG;RE60;43
-2633198367290196765-2410270954-23;Mannheim Hbf;8000244;Homburg(Saar)Hbf;Homburg(Saar)Hbf|Bruchmühlbach-Miesau|Hauptstuhl|Landstuhl|Kindsbach|Einsiedlerhof|Vogelweh|Kennelgarten|Kaiserslautern Hbf|Hochspeyer|Frankenstein(Pfalz)|Weidenthal|Neidenfels|Lambrecht(Pfalz)|Neustadt(Weinstr)Hbf|Neustadt-Böbig|Haßloch(Pfalz)|Böhl-Iggelheim|Schifferstadt|Limburgerhof|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38119;1;2024-10-27 11:35:00;2024-10-27 11:39:00;;;4;DB Regio AG;S1;43
-2543008509222161707-2410270846-6;Mannheim Hbf;8000244;München Hbf;München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Stuttgart Hbf;ICE;690;;2024-10-27 11:28:00;2024-10-27 11:30:00;;;2;DB Fernverkehr AG;München Hbf-Mannheim Hbf;43
2532593392850139255-2410270928-3;Mannheim Hbf;8000244;Köln Hbf;Köln Hbf|Wiesbaden Hbf;ICE;515;;2024-10-27 11:23:00;2024-10-27 11:24:00;;;1;DB Fernverkehr AG;Köln Hbf-Mannheim Hbf;43
5470152570601053956-2410310455-16;Frankfurt(Main)Hbf;8000105;Aschaffenburg Hbf;Aschaffenburg Hbf|Kleinostheim|Rückersbacher Schlucht|Dettingen(Main)|Kahl(Main)|Großkrotzenburg|Großauheim(Kr Hanau)|Hanau Hbf|Hanau West|Hanau-Wilhelmsbad|Maintal Ost|Maintal West|Frankfurt-Mainkur|Frankfurt(Main)Ost|Frankfurt(Main)Süd;HLB;28604;RB58;2024-10-31 05:55:00;2024-10-31 06:03:00;;;8;Hessische Landesbahn;RB58;43
7130605216857004791-2410310321-3;Frankfurt(Main)Hbf;8000105;Köln Hbf;Köln Hbf|Frankfurt(M) Flughafen Fernbf;ICE;827;;2024-10-31 05:33:00;2024-10-31 06:23:00;2024-10-31 04:21:00;c;50;DB Fernverkehr AG;Köln Hbf-Frankfurt(Main)Hbf;43
-8624992757107064587-2410260332-7;Mannheim Hbf;8000244;München Hbf;München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Plochingen|Stuttgart Hbf;ICE;616;;2024-10-26 06:28:00;2024-10-26 06:29:00;;;1;DB Fernverkehr AG;München Hbf-Mannheim Hbf;42
3342033784667533778-2410260549-16;Mannheim Hbf;8000244;Sinsheim(Elsenz) Hbf;Sinsheim(Elsenz) Hbf|Hoffenheim|Zuzenhausen|Meckesheim|Mauer(b Heidelberg)|Reilsheim|Bammental|Neckargemünd|Heidelberg Orthopädie|Heidelberg-Schlierbach/Ziegelhausen|Heidelberg-Altstadt|Heidelberg-Weststadt/Südstadt|Heidelberg Hbf|Heidelberg-Pfaffengrund/Wieblingen|Neu-Edingen/Friedrichsfeld;S;38504;5;2024-10-26 06:56:00;2024-10-26 06:54:00;;;-2;DB Regio AG;S5;42
-5936404401169525278-2410271853-4;Mannheim Hbf;8000244;Düsseldorf Hbf;Düsseldorf Hbf|Köln Messe/Deutz Gl.11-12|Wiesbaden Hbf;ICE;615;;2024-10-27 21:23:00;2024-10-27 21:22:00;;;-1;DB Fernverkehr AG;Düsseldorf Hbf-Mannheim Hbf;43
6195485783263057734-2410271828-6;Mannheim Hbf;8000244;München Hbf;München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Stuttgart Hbf;ICE;910;;2024-10-27 21:15:00;2024-10-27 21:17:00;;;2;DB Fernverkehr AG;München Hbf-Mannheim Hbf;43
-8312398823745694210-2410271511-10;Mannheim Hbf;8000244;Kiel Hbf;Kiel Hbf|Neumünster|Hamburg Dammtor|Hamburg Hbf|Hannover Hbf|Göttingen|Kassel-Wilhelmshöhe|Frankfurt(Main)Hbf|Mainz Hbf;ICE;377;;2024-10-27 21:27:00;2024-10-27 21:27:00;;;0;DB Fernverkehr AG;Kiel Hbf-Mannheim Hbf;43
-2289591885774835907-2411060513-8;Wiesbaden Hbf;8000250;Basel SBB;Basel SBB|Basel Bad Bf|Freiburg(Breisgau) Hbf|Offenburg|Baden-Baden|Karlsruhe Hbf|Mannheim Hbf;ICE;206;;2024-11-06 08:31:00;2024-11-06 08:50:00;;;19;DB Fernverkehr AG;Basel SBB-Wiesbaden Hbf;44
7410594985579841174-2411060749-8;Wiesbaden Hbf;8000250;Kelsterbach;Kelsterbach|Raunheim|Rüsselsheim|Rüsselsheim Opelwerk|Mainz-Bischofsheim|Mainz-Kastel|Wiesbaden Ost;S;29016;9;2024-11-06 08:19:00;2024-11-06 08:25:00;;;6;DB Regio AG;S9;44
-335661293960159932-2411060728-32;Wiesbaden Hbf;8000250;Rödermark-Ober Roden;Rödermark-Ober Roden|Rodgau-Rollwald|Rodgau-Nieder Roden|Rodgau-Dudenhofen|Rodgau-Jügesheim|Rodgau-Hainhausen|Rodgau-Weiskirchen|Obertshausen(Kr Of)|Offenbach-Waldhof|Offenbach-Bieber|Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Griesheim|Frankfurt-Nied|Frankfurt-Höchst|Frankfurt-Höchst Farbwerke|Frankfurt-Sindlingen|Hattersheim(Main)|Eddersheim|Flörsheim(Main)|Hochheim(Main)|Mainz-Kastel|Wiesbaden Ost;S;35116;1;2024-11-06 08:54:00;2024-11-06 09:18:00;;;24;DB Regio AG;S1;44
