timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
-6717839496730661081-2411042253-4;Wiesbaden Hbf;8000250;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Frankfurt-Höchst|Mainz-Kastel;VIA;25036;RB10;2024-11-04 23:25:00;2024-11-04 23:38:00;;;13;VIAS GmbH;RB10;44
-7915661301680702100-2411080438-11;Mainz Hbf;8000240;Alzey;Alzey|Albig|Armsheim|Wörrstadt|Saulheim|Nieder Olm|Klein Winternheim-Ober Olm|Mainz-Marienborn|Mainz-Gonsenheim|Mainz Waggonfabrik;RB;29239;31;2024-11-08 05:24:00;2024-11-08 05:36:00;;;12;DB Regio AG;RB31;44
-6868994855559724504-2411080523-10;Mainz Hbf;8000240;Bingen(Rhein) Hbf;Bingen(Rhein) Hbf|Bingen(Rhein) Stadt|Bingen-Gaulsheim|Gau Algesheim|Ingelheim|Heidesheim(Rheinhess)|Uhlerborn|Budenheim|Mainz-Mombach;RB;25457;26;2024-11-08 05:54:00;;2024-11-08 01:00:00;c;0;DB Regio AG;RB26;44
4081552720387302901-2411080506-2;Mainz Hbf;8000240;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf;ICE;271;;2024-11-08 05:40:00;2024-11-08 05:43:00;;;3;DB Fernverkehr AG;Frankfurt(Main)Hbf-Mainz Hbf;44
1945603439104254635-2411080340-18;Mainz Hbf;8000240;Idar-Oberstein;Idar-Oberstein|Fischbach-Weierbach|Kirnsulzbach|Kirn|Hochstetten(Nahe)|Martinstein|Monzingen|Bad Sobernheim|Staudernheim|Norheim|Bad Münster a Stein|Bad Kreuznach|Gensingen-Horrweiler|Ockenheim|Gau Algesheim|Ingelheim|Heidesheim(Rheinhess);RB;29551;33;2024-11-08 05:04:00;2024-11-08 05:11:00;;;7;DB Regio AG;RB33;44
-288095169008805004-2411080455-10;Mainz Hbf;8000240;Bingen(Rhein) Hbf;Bingen(Rhein) Hbf|Bingen(Rhein) Stadt|Bingen-Gaulsheim|Gau Algesheim|Ingelheim|Heidesheim(Rheinhess)|Uhlerborn|Budenheim|Mainz-Mombach;RB;25351;26;2024-11-08 05:26:00;;2024-11-08 00:54:00;c;0;DB Regio AG;RB26;44
8868050453695511606-2411062134-10;Mainz Hbf;8000240;Zürich HB;Zürich HB|Basel SBB|Basel Bad Bf|Freiburg(Breisgau) Hbf|Offenburg|Baden-Baden|Karlsruhe Hbf|Frankfurt(Main)Hbf|Frankfurt(M) Flughafen Fernbf;NJ;402;;2024-11-07 03:48:00;2024-11-07 04:04:00;;;16;ÖBB;Zürich HB-Mainz Hbf;44
4753870957390372842-2411062134-10;Mainz Hbf;8000240;Zürich HB;Zürich HB|Basel SBB|Basel Bad Bf|Freiburg(Breisgau) Hbf|Offenburg|Baden-Baden|Karlsruhe Hbf|Frankfurt(Main)Hbf|Frankfurt(M) Flughafen Fernbf;IC;60402;;2024-11-07 03:48:00;2024-11-07 04:04:00;;;16;DB Fernverkehr AG;Zürich HB-Mainz Hbf;44
-7262621368851051372-2411181607-4;Mannheim Hbf;8000244;Düsseldorf Hbf;Düsseldorf Hbf|Köln Messe/Deutz Gl.11-12|Wiesbaden Hbf;ICE;201;;2024-11-18 18:23:00;2024-11-18 18:44:00;;;21;DB Fernverkehr AG;Düsseldorf Hbf-Mannheim Hbf;46
32797678514179970-2411181730-12;Mannheim Hbf;8000244;Bensheim;Bensheim|Heppenheim(Bergstr)|Laudenbach(Bergstr)|Hemsbach|Weinheim(Bergstr)Hbf|Weinheim-Lützelsachsen|Heddesheim/Hirschberg|Ladenburg|Neu-Edingen/Friedrichsfeld|Mannheim-Seckenheim|Mannheim ARENA/Maimarkt;S;38711;6;2024-11-18 18:16:00;2024-11-18 18:18:00;;;2;DB Regio AG;S6;46
-4580757756484141741-2411181315-8;Mannheim Hbf;8000244;Hamburg Dammtor;Hamburg Dammtor|Hamburg Hbf|Hannover Hbf|Göttingen|Kassel-Wilhelmshöhe|Frankfurt(Main)Hbf|Mainz Hbf;ICE;1211;;2024-11-18 18:27:00;2024-11-18 18:50:00;;;23;DB Fernverkehr AG;Hamburg Dammtor-Mannheim Hbf;46
-2108368176832072087-2411181658-17;Mannheim Hbf;8000244;Kaiserslautern Hbf;Kaiserslautern Hbf|Hochspeyer|Frankenstein(Pfalz)|Weidenthal|Neidenfels|Lambrecht(Pfalz)|Neustadt(Weinstr)Hbf|Neustadt-Böbig|Haßloch(Pfalz)|Böhl-Iggelheim|Schifferstadt|Limburgerhof|Ludwigshafen-Rheingönheim|Ludwigshafen-Mundenheim|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38243;2;2024-11-18 18:03:00;2024-11-18 18:06:00;;;3;DB Regio AG;S2;46
1116577686148397167-2411181613-6;Mannheim Hbf;8000244;Basel SBB;Basel SBB|Basel Bad Bf|Freiburg(Breisgau) Hbf|Offenburg|Karlsruhe Hbf;ICE;274;;2024-11-18 18:24:00;2024-11-18 18:26:00;;;2;DB Fernverkehr AG;Basel SBB-Mannheim Hbf;46
-8127132002161118974-2411100926-27;Frankfurt(Main)Hbf;8000105;Bamberg;Bamberg|Haßfurt|Schweinfurt Hbf|Würzburg Hbf|Retzbach-Zellingen|Karlstadt(Main)|Gemünden(Main)|Langenprozelten|Lohr Bahnhof|Partenstein|Wiesthal|Heigenbrücken|Aschaffenburg Hbf|Kleinostheim|Dettingen(Main)|Kahl(Main)|Großkrotzenburg|Großauheim(Kr Hanau)|Hanau Hbf|Hanau West|Hanau-Wilhelmsbad|Maintal Ost|Maintal West|Frankfurt-Mainkur|Frankfurt(Main)Ost|Frankfurt(Main)Süd;RE;4612;54;2024-11-10 12:32:00;2024-11-10 12:32:00;;;0;DB Regio AG;RE54;45
-8767056179419145945-2411100815-6;Frankfurt(Main)Hbf;8000105;Hamburg Dammtor;Hamburg Dammtor|Hamburg Hbf|Hannover Hbf|Göttingen|Kassel-Wilhelmshöhe;ICE;279;;2024-11-10 12:00:00;2024-11-10 12:08:00;;;8;DB Fernverkehr AG;Hamburg Dammtor-Frankfurt(Main)Hbf;45
5217047642891573188-2411101107-15;Frankfurt(Main)Hbf;8000105;Heidelberg Hbf;Heidelberg Hbf|Heidelberg-Pfaffengrund/Wieblingen|Neu-Edingen/Friedrichsfeld|Ladenburg|Weinheim(Bergstr)Hbf|Laudenbach(Bergstr)|Heppenheim(Bergstr)|Bensheim|Bensheim-Auerbach|Zwingenberg(Bergstr)|Hähnlein-Alsbach|Darmstadt-Eberstadt|Darmstadt Hbf|Langen(Hess);RE;4662;68;2024-11-10 12:24:00;2024-11-10 12:25:00;;;1;DB Regio AG;RE68;45
-4676367904559688889-2411100847-5;Frankfurt(Main)Hbf;8000105;München Hbf;München Hbf|Nürnberg Hbf|Würzburg Hbf|Aschaffenburg Hbf;ICE;724;;2024-11-10 12:04:00;2024-11-10 12:02:00;;;-2;DB Fernverkehr AG;München Hbf-Frankfurt(Main)Hbf;45
-6587392842866304740-2411101023-12;Frankfurt(Main)Hbf;8000105;Kassel Hbf;Kassel Hbf|Kassel-Wilhelmshöhe|Wabern(Bz Kassel)|Borken(Hess)|Treysa|Neustadt(Kr Marburg)|Stadtallendorf|Kirchhain(Bz Kassel)|Marburg(Lahn)|Gießen|Friedberg(Hess);RE;4157;30;2024-11-10 12:40:00;2024-11-10 12:39:00;;;-1;DB Regio AG;RE30;45
-8506595045713296172-2410291502-8;Mainz Hbf;8000240;Darmstadt Hbf;Darmstadt Hbf|Weiterstadt|Klein Gerau|Groß Gerau|Nauheim(b Gr.Gerau)|Mainz-Bischofsheim|Mainz Römisches Theater;HLB;63668;RB75;2024-10-29 15:32:00;2024-10-29 15:40:00;;;8;Hessische Landesbahn;RB75;43
8836118160169322273-2410291413-17;Mainz Hbf;8000240;Mannheim Hbf;Mannheim Hbf|Ludwigshafen(Rhein) Mitte|Ludwigshafen(Rh)Hbf|Ludwigshafen-Oggersheim|Frankenthal Süd|Frankenthal Hbf|Bobenheim|Worms Hbf|Osthofen|Guntersblum|Dienheim|Oppenheim|Nierstein|Nackenheim|Bodenheim|Mainz Römisches Theater;S;38618;6;2024-10-29 15:32:00;2024-10-29 15:39:00;;;7;DB Regio AG;S6;43
6492627968416470339-2410291236-8;Mainz Hbf;8000240;Dortmund Hbf;Dortmund Hbf|Hagen Hbf|Wuppertal Hbf|Solingen Hbf|Köln Hbf|Bonn Hbf|Koblenz Hbf;ICE;229;;2024-10-29 15:39:00;2024-10-29 15:46:00;;;7;DB Fernverkehr AG;Dortmund Hbf-Mainz Hbf;43
244698461933490290-2410291428-22;Mainz Hbf;8000240;Offenbach(Main)Ost;Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Niederrad|Frankfurt am Main - Stadion|Frankfurt(Main)-Gateway Gardens|Frankfurt(M) Flughafen Regionalbf|Kelsterbach|Raunheim|Rüsselsheim|Rüsselsheim Opelwerk|Mainz-Bischofsheim|Mainz-Gustavsburg|Mainz Römisches Theater;S;35844;8;2024-10-29 15:26:00;2024-10-29 15:36:00;;;10;DB Regio AG;S8;43
7905496543427052776-2410291508-7;Mainz Hbf;8000240;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Frankfurt-Niederrad|Frankfurt(M) Flughafen Regionalbf|Rüsselsheim|Mainz-Bischofsheim|Mainz Römisches Theater;RE;4260;2;2024-10-29 15:49:00;2024-10-29 15:49:00;;;0;DB Regio AG;RE2;43
731613792209899436-2411161606-8;Trier Hbf;8000134;Koblenz Hbf;Koblenz Hbf|Kobern-Gondorf|Treis-Karden|Cochem(Mosel)|Bullay(DB)|Wittlich Hbf|Schweich(DB);RE;4340;1;2024-11-16 17:30:00;2024-11-16 17:32:00;;;2;DB Regio AG;RE1;45
-6542071659543137996-2411161708-11;Trier Hbf;8000134;Wittlich Hbf;Wittlich Hbf|Salmtal|Sehlem(Kr Wittlich)|Hetzerath|Föhren|Schweich(DB)|Quint|Ehrang Ort|Ehrang|Pfalzel;RB;5652;83;2024-11-16 17:48:00;2024-11-16 17:47:00;;;-1;DB Regio AG;RB83;45
765884255463401950-2411161439-16;Trier Hbf;8000134;Mannheim Hbf;Mannheim Hbf|Ludwigshafen(Rhein) Mitte|Neustadt(Weinstr)Hbf|Kaiserslautern Hbf|Landstuhl|Homburg(Saar)Hbf|St Ingbert|Saarbrücken Hbf|Völklingen|Saarlouis Hbf|Dillingen(Saar)|Merzig(Saar)|Mettlach|Saarburg(Bz Trier)|Konz;RE;4127;1;2024-11-16 17:27:00;2024-11-16 17:28:00;;;1;DB Regio AG;RE1;45
-9170319321262747816-2411051713-7;Mannheim Hbf;8000244;Basel SBB;Basel SBB|Basel Bad Bf|Freiburg(Breisgau) Hbf|Offenburg|Baden-Baden|Karlsruhe Hbf;ICE;102;;2024-11-05 19:24:00;2024-11-05 19:31:00;;;7;DB Fernverkehr AG;Basel SBB-Mannheim Hbf;44
4792008167590661336-2411201623-4;Wiesbaden Hbf;8000250;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Frankfurt-Höchst|Mainz-Kastel;VIA;25076;RB10;2024-11-20 16:58:00;;2024-11-20 15:09:00;c;0;VIAS GmbH;RB10;46
-5692020934102219188-2411201635-5;Wiesbaden Hbf;8000250;Niedernhausen(Taunus);Niedernhausen(Taunus)|Auringen-Medenbach|Wiesbaden-Igstadt|Wiesbaden-Erbenheim;HLB;25653;RB21;2024-11-20 16:59:00;2024-11-20 16:59:00;;;0;Hessische Landesbahn;RB21;46
2146121458090236833-2411201528-2;Wiesbaden Hbf;8000250;Köln Hbf;Köln Hbf;ICE;611;;2024-11-20 16:20:00;2024-11-20 16:31:00;;;11;DB Fernverkehr AG;Köln Hbf-Wiesbaden Hbf;46
